Record ID,Timestamp,Barometer
7022352,7/12/2022 8:00,30.018
7022353,7/12/2022 8:01,30.016
7022355,7/12/2022 8:02,30.016
7022356,7/12/2022 8:03,30.016
7022359,7/12/2022 8:04,30.019
7022360,7/12/2022 8:05,30.018
7022361,7/12/2022 8:06,30.017
7022362,7/12/2022 8:07,30.021
7022365,7/12/2022 8:08,30.017
7022368,7/12/2022 8:09,30.021
7022371,7/12/2022 8:10,30.019
7022374,7/12/2022 8:11,30.021
7022377,7/12/2022 8:12,30.021
7022380,7/12/2022 8:13,30.021
7022383,7/12/2022 8:14,30.021
7022386,7/12/2022 8:15,30.022
7022389,7/12/2022 8:17,30.022
7022392,7/12/2022 8:18,30.02
7022393,7/12/2022 8:19,30.02
7022395,7/12/2022 8:20,30.022
7022398,7/12/2022 8:21,30.023
7022400,7/12/2022 8:22,30.021
7022403,7/12/2022 8:23,30.024
7022406,7/12/2022 8:24,30.021
7022409,7/12/2022 8:25,30.025
7022412,7/12/2022 8:26,30.025
7022415,7/12/2022 8:27,30.025
7022416,7/12/2022 8:28,30.026
7022419,7/12/2022 8:29,30.027
7022421,7/12/2022 8:30,30.028
7022422,7/12/2022 8:31,30.028
7022425,7/12/2022 8:32,30.028
7022428,7/12/2022 8:33,30.027
7022429,7/12/2022 8:34,30.028
7022432,7/12/2022 8:35,30.029
7022433,7/12/2022 8:36,30.03
7022436,7/12/2022 8:37,30.03
7022438,7/12/2022 8:38,30.029
7022439,7/12/2022 8:39,30.032
7022441,7/12/2022 8:40,30.032
7022444,7/12/2022 8:41,30.032
7022447,7/12/2022 8:42,30.03
7022449,7/12/2022 8:43,30.031
7022452,7/12/2022 8:44,30.031
7022453,7/12/2022 8:49,30.031
7022456,7/12/2022 8:50,30.033
7022459,7/12/2022 8:51,30.034
7022461,7/12/2022 8:52,30.034
7022464,7/12/2022 8:53,30.034
7022465,7/12/2022 8:54,30.035
7022468,7/12/2022 8:55,30.035
7022471,7/12/2022 8:56,30.035
7022474,7/12/2022 8:57,30.037
7022476,7/12/2022 8:58,30.039
7022478,7/12/2022 8:59,30.036
7022480,7/12/2022 9:00,30.037
7022483,7/12/2022 9:01,30.039
7022484,7/12/2022 9:02,30.038
7022486,7/12/2022 9:03,30.038
7022488,7/12/2022 9:04,30.038
7022491,7/12/2022 9:05,30.04
7022494,7/12/2022 9:06,30.039
7022497,7/12/2022 9:07,30.04
7022500,7/12/2022 9:08,30.038
7022501,7/12/2022 9:09,30.038
7022503,7/12/2022 9:10,30.038
7022505,7/12/2022 9:11,30.039
7022506,7/12/2022 9:12,30.042
7022508,7/12/2022 9:13,30.042
7022509,7/12/2022 9:14,30.039
7022511,7/12/2022 9:15,30.042
7022513,7/12/2022 9:16,30.043
7022516,7/12/2022 9:17,30.039
7022519,7/12/2022 9:18,30.04
7022521,7/12/2022 9:19,30.041
7022523,7/12/2022 9:20,30.038
7022524,7/12/2022 9:21,30.04
7022527,7/12/2022 9:22,30.04
7022529,7/12/2022 9:23,30.037
7022531,7/12/2022 9:24,30.037
7022534,7/12/2022 9:25,30.036
7022535,7/12/2022 9:26,30.037
7022538,7/12/2022 9:27,30.037
7022539,7/12/2022 9:28,30.036
7022542,7/12/2022 9:29,30.035
7022544,7/12/2022 9:30,30.037
7022547,7/12/2022 9:31,30.038
7022550,7/12/2022 9:32,30.037
7022553,7/12/2022 9:33,30.038
7022555,7/12/2022 9:34,30.039
7022557,7/12/2022 9:35,30.036
7022559,7/12/2022 9:36,30.035
7022562,7/12/2022 9:37,30.034
7022564,7/12/2022 9:38,30.034
