Serial Number:20725838 --,,
,,
"Date Time, GMT -0400","Temp, (*F)",EOF
6/10/2022 14:22,92.46, 
6/10/2022 14:22,92.46, 
6/10/2022 14:22,92.46, 
6/10/2022 14:22,92.46, 
6/10/2022 14:22,92.46, 
6/10/2022 14:22,92.38, 
6/10/2022 14:22,92.46, 
6/10/2022 14:22,92.46, 
6/10/2022 14:22,92.46, 
6/10/2022 14:22,92.46, 
6/10/2022 14:22,92.46, 
6/10/2022 14:22,92.38, 
6/10/2022 14:22,92.38, 
6/10/2022 14:22,92.46, 
6/10/2022 14:22,92.38, 
6/10/2022 14:22,92.46, 
6/10/2022 14:22,92.46, 
6/10/2022 14:22,92.46, 
6/10/2022 14:22,92.46, 
6/10/2022 14:22,92.46, 
6/10/2022 14:22,92.54, 
6/10/2022 14:22,92.54, 
6/10/2022 14:22,92.61, 
6/10/2022 14:22,92.54, 
6/10/2022 14:22,92.46, 
6/10/2022 14:22,92.54, 
6/10/2022 14:22,92.46, 
6/10/2022 14:22,92.46, 
6/10/2022 14:22,92.61, 
6/10/2022 14:22,92.54, 
6/10/2022 14:22,92.54, 
6/10/2022 14:22,92.54, 
6/10/2022 14:22,92.61, 
6/10/2022 14:22,92.61, 
6/10/2022 14:22,92.61, 
6/10/2022 14:22,92.54, 
6/10/2022 14:22,92.61, 
6/10/2022 14:23,92.61, 
6/10/2022 14:23,92.69, 
6/10/2022 14:23,92.61, 
6/10/2022 14:23,92.69, 
6/10/2022 14:23,92.61, 
6/10/2022 14:23,92.69, 
6/10/2022 14:23,92.61, 
6/10/2022 14:23,92.69, 
6/10/2022 14:23,92.69, 
6/10/2022 14:23,92.69, 
6/10/2022 14:23,92.69, 
6/10/2022 14:23,92.77, 
6/10/2022 14:23,92.77, 
6/10/2022 14:23,92.77, 
6/10/2022 14:23,92.77, 
6/10/2022 14:23,92.77, 
6/10/2022 14:23,92.77, 
6/10/2022 14:23,92.84, 
6/10/2022 14:23,92.84, 
6/10/2022 14:23,92.84, 
6/10/2022 14:23,92.84, 
6/10/2022 14:23,92.92, 
6/10/2022 14:23,92.84, 
6/10/2022 14:23,92.92, 
6/10/2022 14:23,92.92, 
6/10/2022 14:23,93, 
6/10/2022 14:23,93, 
6/10/2022 14:23,92.92, 
6/10/2022 14:23,92.92, 
6/10/2022 14:23,93, 
6/10/2022 14:23,93, 
6/10/2022 14:23,93, 
6/10/2022 14:23,93, 
6/10/2022 14:23,93, 
6/10/2022 14:23,93.08, 
6/10/2022 14:23,93, 
6/10/2022 14:23,93.08, 
6/10/2022 14:23,93.08, 
6/10/2022 14:23,93.15, 
6/10/2022 14:23,93.15, 
6/10/2022 14:23,93.15, 
6/10/2022 14:23,93.15, 
6/10/2022 14:23,93.23, 
6/10/2022 14:23,93.31, 
6/10/2022 14:23,93.31, 
6/10/2022 14:23,93.46, 
6/10/2022 14:23,93.39, 
6/10/2022 14:23,93.46, 
6/10/2022 14:23,93.54, 
6/10/2022 14:23,93.46, 
6/10/2022 14:23,93.54, 
6/10/2022 14:23,93.54, 
6/10/2022 14:23,93.62, 
6/10/2022 14:23,93.62, 
6/10/2022 14:23,93.54, 
6/10/2022 14:23,93.46, 
6/10/2022 14:23,93.54, 
6/10/2022 14:23,93.54, 
6/10/2022 14:23,93.62, 
6/10/2022 14:23,93.46, 
6/10/2022 14:24,93.62, 
6/10/2022 14:24,93.62, 
6/10/2022 14:24,93.62, 
6/10/2022 14:24,93.62, 
6/10/2022 14:24,93.62, 
6/10/2022 14:24,93.54, 
6/10/2022 14:24,93.54, 
6/10/2022 14:24,93.62, 
6/10/2022 14:24,93.62, 
6/10/2022 14:24,93.69, 
6/10/2022 14:24,93.62, 
6/10/2022 14:24,93.69, 
6/10/2022 14:24,93.62, 
6/10/2022 14:24,93.69, 
6/10/2022 14:24,93.62, 
6/10/2022 14:24,93.69, 
6/10/2022 14:24,93.69, 
6/10/2022 14:24,93.69, 
6/10/2022 14:24,93.69, 
6/10/2022 14:24,93.69, 
6/10/2022 14:24,93.69, 
6/10/2022 14:24,93.69, 
6/10/2022 14:24,93.77, 
6/10/2022 14:24,93.62, 
6/10/2022 14:24,93.77, 
6/10/2022 14:24,93.77, 
6/10/2022 14:24,93.77, 
6/10/2022 14:24,93.77, 
6/10/2022 14:24,93.77, 
6/10/2022 14:24,93.85, 
6/10/2022 14:24,93.77, 
6/10/2022 14:24,93.85, 
6/10/2022 14:24,93.77, 
6/10/2022 14:24,93.85, 
6/10/2022 14:24,93.77, 
6/10/2022 14:24,93.85, 
6/10/2022 14:24,93.85, 
6/10/2022 14:24,93.93, 
6/10/2022 14:24,93.85, 
6/10/2022 14:24,93.85, 
6/10/2022 14:24,93.85, 
6/10/2022 14:24,93.85, 
6/10/2022 14:24,93.85, 
6/10/2022 14:24,93.85, 
6/10/2022 14:24,93.93, 
6/10/2022 14:24,93.93, 
6/10/2022 14:24,93.93, 
6/10/2022 14:24,93.85, 
6/10/2022 14:24,93.93, 
6/10/2022 14:24,93.93, 
6/10/2022 14:24,93.85, 
6/10/2022 14:24,93.93, 
6/10/2022 14:24,93.93, 
6/10/2022 14:24,93.93, 
6/10/2022 14:24,93.93, 
6/10/2022 14:24,93.93, 
6/10/2022 14:24,93.93, 
6/10/2022 14:24,94, 
6/10/2022 14:24,94, 
6/10/2022 14:24,93.93, 
6/10/2022 14:25,93.93, 
6/10/2022 14:25,93.93, 
6/10/2022 14:25,94, 
6/10/2022 14:25,94, 
6/10/2022 14:25,94, 
6/10/2022 14:25,93.93, 
6/10/2022 14:25,93.93, 
6/10/2022 14:25,94, 
6/10/2022 14:25,94, 
6/10/2022 14:25,93.93, 
6/10/2022 14:25,94, 
6/10/2022 14:25,94, 
6/10/2022 14:25,94, 
6/10/2022 14:25,94, 
6/10/2022 14:25,94, 
6/10/2022 14:25,94.08, 
6/10/2022 14:25,93.93, 
6/10/2022 14:25,94.08, 
6/10/2022 14:25,94.08, 
6/10/2022 14:25,94, 
6/10/2022 14:25,94, 
6/10/2022 14:25,94, 
6/10/2022 14:25,94.08, 
6/10/2022 14:25,94, 
6/10/2022 14:25,94, 
6/10/2022 14:25,94, 
6/10/2022 14:25,94, 
6/10/2022 14:25,94, 
6/10/2022 14:25,94, 
6/10/2022 14:25,94, 
6/10/2022 14:25,94.08, 
6/10/2022 14:25,94.08, 
6/10/2022 14:25,94.08, 
6/10/2022 14:25,94, 
6/10/2022 14:25,94.08, 
6/10/2022 14:25,94, 
6/10/2022 14:25,94.08, 
6/10/2022 14:25,94.08, 
6/10/2022 14:25,94.08, 
6/10/2022 14:25,94.08, 
6/10/2022 14:25,94.08, 
6/10/2022 14:25,94, 
6/10/2022 14:25,94.08, 
6/10/2022 14:25,94.16, 
6/10/2022 14:25,94.16, 
6/10/2022 14:25,94, 
6/10/2022 14:25,94.08, 
6/10/2022 14:25,94.16, 
6/10/2022 14:25,94.16, 
6/10/2022 14:25,94.16, 
6/10/2022 14:25,94.23, 
6/10/2022 14:25,94.16, 
6/10/2022 14:25,94.16, 
6/10/2022 14:25,94.23, 
6/10/2022 14:25,94.16, 
6/10/2022 14:25,94.23, 
6/10/2022 14:25,94.23, 
6/10/2022 14:25,94.16, 
6/10/2022 14:25,94.23, 
6/10/2022 14:25,94.23, 
6/10/2022 14:26,94.23, 
6/10/2022 14:26,94.23, 
6/10/2022 14:26,94.23, 
6/10/2022 14:26,94.23, 
6/10/2022 14:26,94.23, 
6/10/2022 14:26,94.16, 
6/10/2022 14:26,94.23, 
6/10/2022 14:26,94.23, 
6/10/2022 14:26,94.16, 
6/10/2022 14:26,94.23, 
6/10/2022 14:26,94.23, 
6/10/2022 14:26,94.16, 
6/10/2022 14:26,94.31, 
6/10/2022 14:26,94.23, 
6/10/2022 14:26,94.23, 
6/10/2022 14:26,94.31, 
6/10/2022 14:26,94.23, 
6/10/2022 14:26,94.31, 
6/10/2022 14:26,94.23, 
6/10/2022 14:26,94.31, 
6/10/2022 14:26,94.31, 
6/10/2022 14:26,94.31, 
6/10/2022 14:26,94.23, 
6/10/2022 14:26,94.23, 
6/10/2022 14:26,94.23, 
6/10/2022 14:26,94.39, 
6/10/2022 14:26,94.47, 
6/10/2022 14:26,94.39, 
6/10/2022 14:26,94.39, 
6/10/2022 14:26,94.31, 
6/10/2022 14:26,94.39, 
6/10/2022 14:26,94.39, 
6/10/2022 14:26,94.31, 
6/10/2022 14:26,94.31, 
6/10/2022 14:26,94.39, 
6/10/2022 14:26,94.31, 
6/10/2022 14:26,94.39, 
6/10/2022 14:26,94.31, 
6/10/2022 14:26,94.39, 
6/10/2022 14:26,94.39, 
6/10/2022 14:26,94.39, 
6/10/2022 14:26,94.39, 
6/10/2022 14:26,94.39, 
6/10/2022 14:26,94.31, 
6/10/2022 14:26,94.39, 
6/10/2022 14:26,94.39, 
6/10/2022 14:26,94.39, 
6/10/2022 14:26,94.39, 
6/10/2022 14:26,94.39, 
6/10/2022 14:26,94.39, 
6/10/2022 14:26,94.39, 
6/10/2022 14:26,94.39, 
6/10/2022 14:26,94.31, 
6/10/2022 14:26,94.47, 
6/10/2022 14:26,94.39, 
6/10/2022 14:26,94.47, 
6/10/2022 14:26,94.47, 
6/10/2022 14:26,94.47, 
6/10/2022 14:26,94.47, 
6/10/2022 14:26,94.47, 
6/10/2022 14:27,94.47, 
6/10/2022 14:27,94.47, 
6/10/2022 14:27,94.47, 
6/10/2022 14:27,94.47, 
6/10/2022 14:27,94.54, 
6/10/2022 14:27,94.54, 
6/10/2022 14:27,94.47, 
6/10/2022 14:27,94.47, 
6/10/2022 14:27,94.47, 
6/10/2022 14:27,94.54, 
6/10/2022 14:27,94.54, 
6/10/2022 14:27,94.47, 
6/10/2022 14:27,94.54, 
6/10/2022 14:27,94.54, 
6/10/2022 14:27,94.47, 
6/10/2022 14:27,94.62, 
6/10/2022 14:27,94.54, 
6/10/2022 14:27,94.54, 
6/10/2022 14:27,94.47, 
6/10/2022 14:27,94.54, 
6/10/2022 14:27,94.47, 
6/10/2022 14:27,94.54, 
6/10/2022 14:27,94.54, 
6/10/2022 14:27,94.54, 
6/10/2022 14:27,94.54, 
6/10/2022 14:27,94.54, 
6/10/2022 14:27,94.54, 
6/10/2022 14:27,94.62, 
6/10/2022 14:27,94.47, 
6/10/2022 14:27,94.54, 
6/10/2022 14:27,94.47, 
6/10/2022 14:27,94.62, 
6/10/2022 14:27,94.54, 
6/10/2022 14:27,94.54, 
6/10/2022 14:27,94.54, 
6/10/2022 14:27,94.54, 
6/10/2022 14:27,94.62, 
6/10/2022 14:27,94.54, 
6/10/2022 14:27,94.62, 
6/10/2022 14:27,94.62, 
6/10/2022 14:27,94.62, 
6/10/2022 14:27,94.62, 
6/10/2022 14:27,94.62, 
6/10/2022 14:27,94.54, 
6/10/2022 14:27,94.62, 
6/10/2022 14:27,94.62, 
6/10/2022 14:27,94.62, 
6/10/2022 14:27,94.7, 
6/10/2022 14:27,94.54, 
6/10/2022 14:27,94.7, 
6/10/2022 14:27,94.62, 
6/10/2022 14:27,94.62, 
6/10/2022 14:27,94.62, 
6/10/2022 14:27,94.54, 
6/10/2022 14:27,94.62, 
6/10/2022 14:27,94.62, 
6/10/2022 14:27,94.7, 
6/10/2022 14:27,94.62, 
6/10/2022 14:27,94.62, 
6/10/2022 14:27,94.62, 
6/10/2022 14:28,94.7, 
6/10/2022 14:28,94.7, 
6/10/2022 14:28,94.62, 
6/10/2022 14:28,94.62, 
6/10/2022 14:28,94.7, 
6/10/2022 14:28,94.62, 
6/10/2022 14:28,94.62, 
6/10/2022 14:28,94.62, 
6/10/2022 14:28,94.62, 
6/10/2022 14:28,94.7, 
6/10/2022 14:28,94.62, 
6/10/2022 14:28,94.62, 
6/10/2022 14:28,94.7, 
6/10/2022 14:28,94.7, 
6/10/2022 14:28,94.7, 
6/10/2022 14:28,94.62, 
6/10/2022 14:28,94.62, 
6/10/2022 14:28,94.62, 
6/10/2022 14:28,94.7, 
6/10/2022 14:28,94.7, 
6/10/2022 14:28,94.7, 
6/10/2022 14:28,94.7, 
6/10/2022 14:28,94.7, 
6/10/2022 14:28,94.7, 
6/10/2022 14:28,94.7, 
6/10/2022 14:28,94.7, 
6/10/2022 14:28,94.7, 
6/10/2022 14:28,94.62, 
6/10/2022 14:28,94.62, 
6/10/2022 14:28,94.62, 
6/10/2022 14:28,94.62, 
6/10/2022 14:28,94.62, 
6/10/2022 14:28,94.54, 
6/10/2022 14:28,94.62, 
6/10/2022 14:28,94.62, 
6/10/2022 14:28,94.62, 
6/10/2022 14:28,94.62, 
6/10/2022 14:28,94.62, 
6/10/2022 14:28,94.62, 
6/10/2022 14:28,94.62, 
6/10/2022 14:28,94.54, 
6/10/2022 14:28,94.54, 
6/10/2022 14:28,94.54, 
